team_name,team_seed,region,r1,r2,r3,r4_original,r4_adjusted,r5,r6,r1_low,r1_high,r2_low,r2_high,r3_low,r3_high,r4_low,r4_high,r5_low,r5_high,r6_low,r6_high,confidence_tier_r1,confidence_tier_r2,confidence_tier_r3,confidence_tier_r4,confidence_tier_r5,confidence_tier_r6,e8_correction_applied,first_four_flag,near_zero_flag,seed_line_deviation_flag,e8_game_prob_implied,e8_game_prob_corrected,r4_adjusted_alt,path_dependent_flag,source_metadata
Arizona,1,West,0.980800,0.776773,0.536312,0.467759,0.348884,0.294365,0.170570,0.972017,0.989583,0.748544,0.805002,0.499100,0.573500,0.309966,0.387803,0.259900,0.328900,0.141400,0.199700,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.715035,0.650525,0.367993,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
TCU,9,East,0.436500,0.054658,0.023814,0.006382,0.004414,0.001979,0.001526,0.396999,0.476001,0.037428,0.071888,0.010100,0.037600,0.000000,0.013197,0.002000,0.002000,0.001500,0.001500,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.050496,0.185348,0.004528,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Saint Louis,9,Midwest,0.427900,0.056287,0.025995,0.004920,0.004256,0.002558,0.000957,0.388399,0.467401,0.039057,0.073517,0.012200,0.039800,0.000000,0.013040,0.002600,0.002600,0.001000,0.001000,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.019615,0.163731,0.005084,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
UCF,10,East,0.314600,0.062002,0.016789,0.001847,0.002563,0.001201,0.000915,0.276085,0.353115,0.033773,0.090231,0.000000,0.035000,0.000000,0.008794,0.001200,0.001200,0.000900,0.000900,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.003814,0.152670,0.002771,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
McNeese,12,South,0.160000,0.041248,0.014659,0.002801,0.002316,0.002045,0.000897,0.122140,0.197860,0.014023,0.068473,0.005900,0.023400,0.002316,0.002316,0.002000,0.002000,0.000900,0.000900,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,Y,0.011417,0.157992,0.002336,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Akron,12,Midwest,0.259100,0.042868,0.015774,0.001696,0.002442,0.001085,0.000797,0.221240,0.296960,0.015643,0.070093,0.007000,0.024600,0.002442,0.002442,0.001100,0.001100,0.000800,0.000800,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.006850,0.154795,0.002625,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Penn,14,South,0.046100,0.007799,0.003739,0.001188,0.000571,0.000818,0.000628,0.018364,0.073836,0.000000,0.016582,0.003700,0.003700,0.000571,0.000571,0.000800,0.000800,0.000600,0.000600,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,N,N,0.003694,0.152586,0.000604,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Troy,13,South,0.127900,0.015511,0.011368,0.001698,0.001761,0.000982,0.000449,0.095913,0.159887,0.000491,0.030531,0.011400,0.011400,0.001761,0.001761,0.001000,0.001000,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.006953,0.154867,0.001770,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Idaho,15,South,0.042200,0.009532,0.003365,0.001443,0.000515,0.000818,0.000449,0.022196,0.062204,0.000000,0.021875,0.000000,0.009600,0.000515,0.000515,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.004484,0.153139,0.000552,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
PV/LEH,16,South,0.046300,0.001733,0.001496,0.001019,0.000229,0.000818,0.000449,0.037517,0.055083,0.001733,0.001733,0.001500,0.001500,0.000229,0.000229,0.000800,0.000800,0.000400,0.000400,LOW,LOW,LOW,LOW,LOW,LOW,Y,Y,Y,N,0.004184,0.152929,0.000230,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
High Point,12,West,0.200000,0.028226,0.011994,0.002144,0.001895,0.001376,0.000409,0.162140,0.237860,0.001001,0.055451,0.003200,0.020800,0.001895,0.001895,0.001400,0.001400,0.000400,0.000400,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,Y,0.011370,0.157959,0.001923,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Hawai'i,13,West,0.101100,0.014331,0.008484,0.001715,0.001327,0.000972,0.000409,0.069113,0.133087,0.000000,0.029351,0.008500,0.008500,0.001327,0.001327,0.001000,0.001000,0.000400,0.000400,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.009116,0.156381,0.001343,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Kennesaw St,14,West,0.064300,0.007253,0.005193,0.001458,0.000790,0.000810,0.000409,0.036564,0.092036,0.000000,0.016036,0.005200,0.005200,0.000790,0.000790,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.003107,0.152175,0.000852,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Queens,15,West,0.042200,0.004369,0.003291,0.001458,0.000501,0.000810,0.000409,0.022196,0.062204,0.000000,0.016712,0.000000,0.009500,0.000501,0.000501,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.003107,0.152175,0.000540,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Long Island,16,West,0.019200,0.002185,0.001463,0.000857,0.000224,0.000810,0.000409,0.010417,0.027983,0.002185,0.002185,0.001500,0.001500,0.000224,0.000224,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.004576,0.153203,0.000226,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Hofstra,13,Midwest,0.147500,0.034673,0.014406,0.002121,0.002247,0.001318,0.000399,0.115513,0.179487,0.019653,0.049693,0.014400,0.014400,0.002247,0.002247,0.001300,0.001300,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.008551,0.155986,0.002455,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Wright St,14,Midwest,0.068900,0.008916,0.006116,0.001018,0.000926,0.000775,0.000399,0.041164,0.096636,0.000133,0.017699,0.006100,0.006100,0.000926,0.000926,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.002119,0.151483,0.001008,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Tennessee St,15,Midwest,0.042200,0.002972,0.002656,0.001018,0.000402,0.000775,0.000399,0.022196,0.062204,0.000000,0.015315,0.000000,0.008900,0.000402,0.000402,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.002119,0.151483,0.000438,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Howard,16,Midwest,0.023900,0.004503,0.002012,0.001442,0.000310,0.000775,0.000399,0.015117,0.032683,0.004503,0.004503,0.002000,0.002000,0.000310,0.000310,0.000800,0.000800,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.005830,0.154081,0.000330,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Northern Iowa,12,East,0.175000,0.071483,0.020901,0.003359,0.003534,0.001979,0.000381,0.137140,0.212860,0.044258,0.098708,0.012100,0.029700,0.003534,0.003534,0.002000,0.002000,0.000400,0.000400,LOW,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,Y,0.027229,0.169060,0.003589,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
CA Baptist,13,East,0.113000,0.040436,0.011307,0.001680,0.001805,0.000707,0.000381,0.081013,0.144987,0.025416,0.055456,0.011300,0.011300,0.001805,0.001805,0.000700,0.000700,0.000400,0.000400,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.013806,0.159664,0.001821,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
N Dakota St,14,East,0.087600,0.018219,0.008480,0.001680,0.001293,0.001413,0.000381,0.059864,0.115336,0.009436,0.027002,0.008500,0.008500,0.001293,0.001293,0.001400,0.001400,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.003470,0.152429,0.001388,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Furman,15,East,0.053700,0.007715,0.004968,0.001008,0.000752,0.000707,0.000381,0.033696,0.073704,0.000000,0.020058,0.000000,0.011200,0.000752,0.000752,0.000700,0.000700,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.002085,0.151459,0.000786,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
Siena,16,East,0.027200,0.004648,0.002398,0.001008,0.000374,0.000707,0.000381,0.018417,0.035983,0.004648,0.004648,0.002400,0.002400,0.000374,0.000374,0.000700,0.000700,0.000400,0.000400,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,Y,N,Y,N,0.008330,0.155831,0.000376,N,ESPN moneylines single book; additive devig; simulation propagation; COOPER unavailable paywalled; KenPom unavailable login-gated; no blending applied; E8 shrinkage correction applied at r4 with 30% coefficient approximate due to FiveThirtyEight proxy substitution; E8 correction reapplied at game level via r4 back-calculation after methodology gap identified — original formula incorrectly targeted advancement probability rather than game-level win probability
